Host_Name,Host_IPAddress,Host_Alias,MAC_Address
192.168.2.62,192.168.2.62,Intel Corporate,00:13:20:52:9C:BC
192.168.2.63,192.168.2.63,Intel Corporate,00:13:20:52:AD:D8
brig,192.168.2.65,none,none
192.168.2.66,192.168.2.66,Intel Corporate,00:13:20:52:AE:81
192.168.2.69,192.168.2.69,Intel Corporate,00:13:20:02:79:DC
192.168.2.80,192.168.2.80,Hewlett-packard,00:30:C1:0E:EA:8D
192.168.2.83,192.168.2.83,Apple Computer,08:00:07:C4:2F:B4
192.168.2.84,192.168.2.84,Hewlett-packard CO.,00:60:B0:F7:87:7D
192.168.2.85,192.168.2.85,Hewlett Packard,00:0E:7F:42:D9:56
192.168.2.87,192.168.2.87,Hewlett-packard,00:30:C1:0A:3B:7F
192.168.2.88,192.168.2.88,Intel,00:02:B3:D5:58:06
192.168.2.90,192.168.2.90,Nortel Networks,00:60:38:BF:6C:A2
